GENE_NAME	REFSEQ_ID	PROXIMAL_ENHANCERS	ENHANCER_RANKS
Nfic	NM_026756	chr10:81409643-81422056	2
4930404N11Rik	NM_001014836	chr10:81409643-81422056	2
Fzr1	NM_019757	chr10:81409643-81422056	2
Dohh	NM_133964	chr10:81409643-81422056	2
2210404O07Rik	NM_001099917	chr10:81409643-81422056	2
Nfix	NM_001081982	chr8:84730857-84761259,chr8:84730857-84761259	2,2
Lyl1	NM_008535	chr8:84730857-84761259,chr8:84730857-84761259	2,2
Trmt1	NM_001164559	chr8:84730857-84761259,chr8:84730857-84761259	2,2
Nacc1	NM_025788	chr8:84730857-84761259,chr8:84730857-84761259	2,2
Lama5	NM_001081171	chr2:180217649-180228820	3
Adrm1	NM_019822	chr2:180217649-180228820	3
Cables2	NM_145851	chr2:180217649-180228820	3
Rps21	NM_025587	chr2:180217649-180228820	3
Mir3091	NR_037274	chr2:180217649-180228820	3
E2f2	NM_177733	chr4:136165123-136177954	4
Asap3	NM_001008232	chr4:136165123-136177954	4
Id3	NM_008321	chr4:136165123-136177954	4
Mertk	NM_008587	chr2:128729381-128759186	5
Anapc1	NM_008569	chr2:128729381-128759186	5
Kif5c	NM_008449	chr2:49733257-49750235	6
Lypd6b	NM_027990	chr2:49733257-49750235	6
Pmepa1	NM_022995	chr2:173258018-173265070	7
Zbp1	NM_021394	chr2:173258018-173265070	7
Cd82	NM_001271461	chr2:93458751-93469453	8
Gm10804	NR_040532	chr2:93458751-93469453	8
Tg	NM_009375	chr15:66843989-66894303	9
Wisp1	NM_018865	chr15:66843989-66894303	9
Sla	NM_009192	chr15:66843989-66894303	9
Nmt1	NM_008707	chr11:102984726-102988634,chr11:102998802-103003580	319,10
2410004I01Rik	NR_037963	chr11:102984726-102988634,chr11:102998802-103003580	319,10
Dcakd	NM_026551	chr11:102998802-103003580,chr11:102984726-102988634	319,10
Sorbs2	NM_001205219	chr8:45576190-45607349	11
Zmiz1	NM_183208	chr14:25476092-25505629,chr14:25476092-25505629	13,13
Mir3075	NR_037236	chr14:25476092-25505629,chr14:25476092-25505629	13,13
Gm12603	NR_033533	chr4:89031560-89072644	13
1700045H11Rik	NR_040649	chr4:150798845-150808884	13
Errfi1	NM_133753	chr4:150798845-150808884	13
Zfp568	NM_001167873	chr7:29999749-30009995	14
Zfp14	NM_011748	chr7:29999749-30009995	14
Zfp74	NM_178384	chr7:29999749-30009995	14
Pim1	NM_008842	chr17:29428417-29445351,chr17:29457957-29458047	182,15
4933433G15Rik	NR_040719	chr9:75416193-75425218	15
Mapk6	NM_015806	chr9:75416193-75425218	15
Leo1	NM_001039522	chr9:75416193-75425218	15
Map6	NM_001043355	chr7:99301665-99311509	16
Serpinh1	NM_001111044	chr7:99301665-99311509	16
Myo10	NM_019472	chr15:25637845-25653183,chr15:25761834-25775003	216,17
Atp6v1c1	NM_025494	chr15:38699924-38712338	17
Dlgap1	NM_027712	chr17:70706928-70738878	19
Zcchc24	NM_001101433	chr14:25747651-25749964	21
Ppifos	NR_028021	chr14:25747651-25749964	21
Snord12	NR_028540	chr2:167076486-167079775	21
1500012F01Rik	NM_001081005	chr2:167076486-167079775	21
Znfx1	NM_001033196	chr2:167076486-167079775	21
Cdc42ep1	NM_027219	chr15:78834252-78852085	22
Lgals2	NM_025622	chr15:78834252-78852085	22
Card10	NM_130859	chr15:78834252-78852085	22
Gga1	NM_145929	chr15:78834252-78852085	22
Sh3bp1	NM_009164	chr15:78834252-78852085	22
Sfxn2	NM_053196	chr19:46518616-46524056	22
Arl3	NM_019718	chr19:46518616-46524056	22
Trim8	NM_053100	chr19:46518616-46524056	22
Stim2	NM_001081103	chr5:53937350-53950610	22
Hspg2	NM_008305	chr4:137485622-137501243	23
1700013G24Rik	NM_027063	chr4:137485622-137501243	23
Syne3	NM_001042699	chr12:104992336-105026676	24
Glrx5	NM_028419	chr12:104992336-105026676	24
Snhg10	NR_003145	chr12:104992336-105026676	24
Mir3069	NR_037229	chr12:104992336-105026676	24
Scarna13	NR_028576	chr12:104992336-105026676	24
Map3k14	NM_016896	chr11:103235821-103246601	25
1700023F06Rik	NM_001254724	chr11:103235821-103246601	25
Spata32	NM_177801	chr11:103235821-103246601	25
Shb	NM_001033306	chr4:45455057-45475209,chr4:45489372-45514303	69,25
Arl6ip5	NM_022992	chr6:97216086-97223494	27
Tmf1	NM_001081111	chr6:97216086-97223494	27
Lmod3	NM_001081157	chr6:97216086-97223494	27
Uba3	NM_001111106	chr6:97216086-97223494	27
Btd	NM_025295	chr14:31659682-31669527	28
Hacl1	NM_019975	chr14:31659682-31669527	28
