CHROM	START	END	REGION_ID	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank
chr13	70668620	70685473	4_Pbx1mt_peak_4027_lociStitched, 3_Myog_60hr_MT_peak_11302_lociStitched		BC018507	BC018507	5, 68
chrX	96113165	96120368	8_Pbx1mt_peak_19377_lociStitched, 2_MyoD_2d_MT_peak_15883_lociStitched	Msn		Msn	6, 310
chr2	115764690	115780804	4_Pbx1mt_peak_9404_lociStitched, 3_MyoD_2d_MT_peak_9009_lociStitched	BC052040		Mir1951	7, 70
chr5	149374091	149389872	9_Myog_60hr_MT_peak_32197_lociStitched, 3_MyoD_2d_MT_peak_12173_lociStitched		Medag,Tex26	Medag	13, 17
chr15	26364330	26380255	4_Pbx1mt_peak_5338_lociStitched, 3_MyoD_2d_MT_peak_5411_lociStitched	March11		March11	16, 273
chr8	126565341	126603483	17_Myog_60hr_MT_peak_39718_lociStitched, 3_MyoD_2d_MT_peak_14684_lociStitched	Irf2bp2		Irf2bp2	16, 32
chr10	17347743	17368951	4_Pbx1mt_peak_1623_lociStitched			Gm20125	18
chr15	6983335	7022979	12_Pbx1mt_peak_5140_lociStitched, 3_MyoD_2d_MT_peak_5332_lociStitched			Lifr	19, 367
chr15	53101350	53139221	9_Pbx1mt_peak_5731_lociStitched	Ext1		Ext1	21
chr5	111196089	111221264	15_Myog_60hr_MT_peak_31058_lociStitched, 6_MyoD_2d_MT_peak_11821_lociStitched	Ttc28		Pitpnb	24, 42
chr8	54537242	54553390	4_Pbx1mt_peak_15709_lociStitched	Asb5	Spata4,Spcs3	Asb5	25
chr12	88243797	88263724	10_Pbx1mt_peak_3071_lociStitched		Gm5662,Gm7104	Gm5662	26
chr4	64076307	64084151	7_Pbx1mt_peak_11416_lociStitched, 2_MyoD_2d_MT_peak_10671_lociStitched		Tnc	Tnc	27, 348
chr5	31860431	31888570	8_Pbx1mt_peak_13084_lociStitched, 2_MyoD_2d_MT_peak_11458_lociStitched	Bre		Bre	28, 242
chr12	88211463	88216189	3_Myog_60hr_MT_peak_9555_lociStitched, 2_MyoD_2d_MT_peak_3700_lociStitched		Gm10436	Gm10436	31, 131
chr3	21815708	21860163	12_Pbx1mt_peak_9996_lociStitched			Tbl1xr1	31
chr2	117855771	117883408	6_Pbx1mt_peak_9451_lociStitched	4930412B13Rik		4930412B13Rik	33
chr1	6276954	6287603	3_Pbx1mt_peak_6_lociStitched			Rb1cc1	34
chr15	64510560	64521285	5_Pbx1mt_peak_6105_lociStitched			Asap1	36
chr15	33329423	33332317	6_Pbx1mt_peak_5448_lociStitched, 2_MyoD_2d_MT_peak_5446_lociStitched	Cpq		1700084J12Rik	41, 337
chr15	52961573	52968142	6_Pbx1mt_peak_5718_lociStitched, 2_MyoD_2d_MT_peak_5544_lociStitched			Med30	45, 265
chr2	128536341	128553579	5_MyoD_2d_MT_peak_9143_lociStitched, 4_Myog_60hr_MT_peak_23825_lociStitched			Gm14005	48, 223
chr13	12803314	12809884	4_Pbx1mt_peak_3364_lociStitched		Prl2c4,Prl2c3	Prl2c3	50
chr3	19953890	19965003	2_Pbx1mt_peak_9958_lociStitched	Cp		Cp	51
chr15	34327784	34336792	6_Pbx1mt_peak_5483_lociStitched, 2_MyoD_2d_MT_peak_5457_lociStitched	Matn2	9430069I07Rik	9430069I07Rik	53, 244
chr15	56017712	56054792	8_Pbx1mt_peak_5846_lociStitched			Sntb1	54
chr2	84623518	84641110	4_MyoD_2d_MT_peak_8827_lociStitched, 3_Myog_60hr_MT_peak_23172_lociStitched	Ctnnd1	Med19,Ctnnd1,Gm13718,2700094K13Rik,Tmx2	Ctnnd1	55, 166
chr5	29842892	29894969	8_Pbx1mt_peak_13060_lociStitched			Gm5129	57
chr15	25386202	25397223	3_Pbx1mt_peak_5297_lociStitched	Basp1	Gm5468	Basp1	59
