GENE_NAME	REFSEQ_ID	PROXIMAL_ENHANCERS	ENHANCER_RANKS
BC018507	NM_144837	chr13:70650086-70654584,chr13:70668620-70685473	671,5
Msn	NM_010833	chrX:96113165-96120368	6
BC052040	NM_207264	chr2:115631349-115650463,chr2:115764690-115780804	447,7
Medag	NM_027519	chr5:149374091-149389872	13
Tex26	NM_029464	chr5:149374091-149389872	13
March11	NM_177597	chr15:26364330-26380255	16
Irf2bp2	NM_001164598	chr8:126565341-126603483	16
Ext1	NM_010162	chr15:53101350-53139221	21
Ttc28	NM_001267622	chr5:111196089-111221264	24
Asb5	NM_029569	chr8:54537242-54553390	25
Spata4	NM_133711	chr8:54609333-54610994,chr8:54537242-54553390	25,318
Spcs3	NM_029701	chr8:54537242-54553390	25
Gm5662	NM_001013824	chr12:88243797-88263724,chr12:88293133-88297883	26,603
Gm7104	NR_033570	chr12:88243797-88263724,chr12:88293133-88297883	26,603
Tnc	NM_011607	chr4:64076307-64084151	27
Bre	NM_181282	chr5:31860431-31888570	28
Gm10436	NM_001105254	chr12:88211463-88216189	31
4930412B13Rik	NR_040631	chr2:117855771-117883408	33
Cpq	NM_176073	chr15:33329423-33332317	41
Prl2c4	NM_011954	chr13:12803314-12809884	50
Prl2c3	NM_011118	chr13:12803314-12809884	50
Cp	NM_001276250	chr3:19953890-19965003	51
Matn2	NM_016762	chr15:34327784-34336792,chr15:34369381-34373532,chr15:34393801-34412811	53,273,180
9430069I07Rik	NM_001256161	chr15:34327784-34336792,chr15:34369381-34373532,chr15:34393801-34412811	53,273,180
Ctnnd1	NM_001085449	chr2:84623518-84641110	55
Med19	NM_025885	chr2:84623518-84641110	55
Gm13718	NM_001145100	chr2:84623518-84641110	55
2700094K13Rik	NM_001037279	chr2:84623518-84641110	55
Tmx2	NM_025868	chr2:84623518-84641110	55
Basp1	NM_027395	chr15:25386202-25397223	59
Gm5468	NR_027376	chr15:25386202-25397223	59
St3gal3	NM_009176	chr4:118015631-118017414,chr4:118030065-118056315	642,62
Mir221	NR_029806	chrX:19157567-19168416	62
Mir222	NR_029807	chrX:19157567-19168416	62
Mir31	NR_029747	chr4:88950360-88959085	64
6430562O15Rik	NR_015515	chr13:99350136-99369415,chr13:99433705-99447723	745,67
Map1b	NM_008634	chr13:99433705-99447723	67
